[China Eye]
! Version: 20180301
! The content of this list is generated from the following resources:
https://github.com/jasonqng/chinese-keywords/
https://github.com/citizenlab/chat-censorship/
https://docs.google.com/spreadsheets/d/1UTP9MU80r_N5WPhQ5-4AjM0ebW1eMxyDlRe_vaYy9IM/edit#gid=0

!-----------------------Sensitive Keywords-----------------------!
退出中共|Quit CPC
狗日 共产党|
狗屎|
购买xwodi|Buy xwodi
孤床單枕夜難眠|
孤军bo旅|BO trip alone
孤军薄旅|Thin trip alone
孤立事件|Isolated incident
古川|Furukawa
古兰经|Quran
谷|Valley
谷歌|Google
谷歌博客|Google blog
谷歌退出中国|Google quit China
谷歌献花|Google flowers
谷开来|Gu
谷丽萍|Gu Liping
谷源旭|Gu Yuan Xu
股市|Stock market
顾纪祥|Gu Jixiang
雇杀手qq|QQ hired killer
瓜爹|Melon father
瓜爹瓜娘瓜瓜娃|Guadieguaniang Guagua baby
瓜瓜|Guagua
瓜瓜 纽约时报|
瓜瓜爹逆袭|Guagua father counter-attack
瓜瓜发声明|
瓜瓜声明|Guagua Statement
寡头政治|Oligarchy
挂了|Hung up
关键时刻|
关舟|Off the boat
关注|Attention
关卓中|
官场日志|Official log
官方|Official
官方通知|Official notification
官方信息|Official Information
官僚主义|Bureaucracy
官员|Officer
观音法门|Quan Yin Method
管理|Management
管理员|Administrator
贯通两极法|
光+诚|Light + Cheng
光cheng|Light cheng
广场|Plaza
广场上的热血|
广场上的鲜血|
广场上的血|
广场是我的坟墓|
广场四君子|Place four gentlemen
广东+宣传部|
广告服务|Advertise
广隶|Guang Li
广闻|
广州大道|Guangzhou Avenue
广州妹|Guangzhou sister
广州市新塘事件|Guangzhou Xintang event
龟公|
龟头|Glans
龟头对准阴道|Alignment glans vagina
桂林＋西门桥|
桂林火车站|Guilin Railway Station
郭|Guo
郭jl|Guo JL
郭＋男扮女装|Guo + dresser
郭伯雄|Guo
郭春平|Ms Guo
郭伙佳|Guo Jia gang
郭将军＋出逃|
郭金龙|Guo Jinlong
郭晶晶 加|Guo Jingjing plus
郭晶晶 强拆|Guo Jingjing demolitions
郭晶晶家|Guo Jingjing home
郭晶晶家被强拆|
郭立新|Guo Lixin
郭罗基|
郭平|
郭泉|Guo Quan
郭岩华|
郭正刚|Guozheng Gang
郭正钢|Guo steel
国保|National Health Insurance
国宝|National treasure
国产av片|AV-made film
国产〇〇后|
国产乱伦片|Domestic incest film
国耻|National humiliation
国际反华势力|International anti-China forces
国际特赦|Amnesty International
国际特赦组织|Amnesty International
国家+军队|Army National +
国家安全|
国家安全沙皇|National security czar
国家大事|National affairs
国家的囚徒|
国家防火墙|National firewall
国家副主席|Vice-President
国家机密|
国家主席|President
国教科|National Education
国军|
国民教育|National Education
国母|
国母 习夫人|
国母+苹果|
国母+手机|
国母（复测）|
国企大厦18层|
国强+车祸|Guoqiang + accident
国庆节|National Day
国人权|Nations human rights
国台办|Taiwan Affairs Office
国务院副总理|Vice Premier
国新办|SCIO
国新办主任|
国轩|National Landmark
国贼|
国政通|State Masamichi
国之利刃|Razor country
国殇|Shame
国殇 国庆|Memorial Day
国殇之柱|Pillar of Shame
哈儿律师＋抄家|
哈儿律师＋失联|
哈儿律师＋失踪|
哈批|
海盗的悠闲生活|
海尔伍德|Haier Wood
海洛因销售qq|Heroin sales QQ
海门＋电厂|
海门＋抗议|Haimen + protest
海门＋游行|Haimen + Parade
海外|Overseas
海外民运|Overseas democracy movement
海伍德|Haywood
海伍德死亡案|Haywood death case
海伍德与谷有染|
海运女|Female sea
韩东方|HAN
韩桂芝|Han Guizhi
韩贵芝|Han Guizhi
韩国万岁|
韩联潮|
韩西雅|Han Seattle
韩耀|Yao Han
韩正|Han
含笑酒泉|Jiuquan smile
捍卫新闻自由|
汉奸|
汉人|Han
汉维|Hanwei
汉族|Han
杭州百货大楼|Hangzhou Department Store
航天总医院|Aerospace General Hospital
豪乳|Haoru
豪吐|Ho spit
毫无人性|Inhuman
郝凤军|Hao Fengjun
郝建|HAO Jian
郝鳳軍|Hao Fengjun
好法大輪法|
好紧好多水|
好礼天天送|
好一朵|Good one
号召|Call
核心|Core
和平|Peace
和平演变|Peaceful evolution
和田|Wada
和田 暴乱|Wada riot
和田暴乱|Wada riot
和邪社会|And evil society
和谐|Harmony
和谐社会|Harmonious society
和谐拯救危机|Harmony rescue crisis
何兵|Bing
何德普|He Depu
何鸿燊|Ho
何厚铧|
何俊仁|Albert
何鲁丽|He Luli
何培蓉|He Peirong
何清涟|He Qinglian
何挺|Ho Ting
何勇|
合法|Legal
合肥+法院|Hefei + court
河殤|River Elegy
河蟹社会|Crab community
河殇|River Elegy
贺|
贺 车祸|HE accident
贺词|Greetings
贺国强|He Guoqiang
贺锦雷|HE Jin Lei
贺锦涛|He Jintao
贺力力|He Lili
贺卫方|He Weifang
黑薄势力 老薄|
黑道狂神|
黑监狱|Black jails
黑龙江|Heilongjiang
黑马|Dark Horse
黑幕|Inside Story
黑人gv|Black GV
黑社會|
黑社会|
黑索金供应|RDX supply
黑索今|RDX
黑天使|Black Angels
黑匣子 中共|Black Box CCP
黑匣子中共|Black Box CCP
黑星女侠|Black Star Woman
黑衣|Black
横幅|Banner
哄产党|Coax Party
鸿图记|Hung Kee
鸿忠+录音笔|
洪博培|Huntsman
洪传|
洪荒魔尊|Prehistoric Mozun
洪学智|Hong Xuezhi
洪吟|Hong Yin
洪哲勝|Hong Zhesheng
洪哲胜|Hong Zhesheng
洪志|Hongzhi
洪智|
宏法|
红灯区|
红灯区招工|
红顶商人|Hongdingshangren
红匪|Red bandits
红岗|Honggang
红河谷快乐王国|
红楼遗秘|Red left Peru
红楼绮梦|Red Sweet Dreams
红色高棉|Khmer Rouge
红色恐怖|Red Terror
红太阳的陨落|
红志|
红智|
侯德健|Hou Dejian
侯德建|Hou Dejian
侯杰|Hou Jie
侯杰昌|Jie-Chang Hou
侯赛因江|Hussein river
侯欣＋法院|
侯賽因江|Hussein river
厚东去|Koto Go
后薄熙来时代|After Bo era
后达理胡同|After Hedley alley
后达里|After Dari
后达里东巷|
后达里胡同|After Dari alley
后达里西巷|Houdalixi Lane
后入式|After-in
后台|Backstage
呼圖克圖|Hutuketu
呼喊派|Shouters
呼唤|Call
呼吁|Call
胡|HU
胡 锦 涛|
胡 锦涛|Hu Jintao
胡 温无能|Hu Wen incompetence
胡+温|Wen Hu +
胡x紧|Hu X tight
胡x掏|Hu X dig
胡x涛|Hu Tao X
胡x套|Hu X sets
胡core|Hu core
胡长子|Hu Zhangzi
胡春华|Hu Chunhua
胡德平|Deping
胡搞几年|
胡哥|Hu brother
胡海峰|Hu Haifeng
胡海青|HU Hai-qing
胡海清|Hu Haiqing
胡黄蝶|Hu Yellow Butterfly
胡佳|Hu Jia
胡佳+曾金燕|
胡江|Jiang Hu
胡江权斗|
胡金滔|Hu Jintao
胡紧x|Hu tight X
胡紧掏|Hu tight dig
胡紧套|Hu sleeve
胡锦x|Hu X
胡锦涛|Hu Jintao
胡锦涛接班人|Hu's successors
胡锦涛之子|Hu Jintao's son
胡锦滔|
胡锦淘|
胡景涛|
胡裸 涛|Hu Tao bare
胡派系|Hu factions
胡平|
胡平_(作家)|Hu Ping _ 
胡启立|Hu Qili
胡石根|Hu Shi root
胡书记|Hu Shuji
胡掏x|Hu dig X
胡涛|Hu Tao
胡套x|Hu sets X
胡同拆迁|Alley demolition
胡同强拆|Alley demolitions
胡温|Hu and Wen
胡温 太子党|
胡温 新四人帮|
胡温核心|
胡温接班人|
胡温内斗|
胡温体制|Hu-Wen regime
胡温无能|
胡温新政|Huwenxinzheng
胡温政体|Hu-Wen regime
胡温政治|
胡问十年|Hu asked decade
胡习|Hu Xi
胡系|Hu Department
胡系人马|Hu faction
胡星斗|Mr Hu
胡耀邦|Hu Yaobang
胡一刀|Yidao
胡曾合作|Hu has worked
胡曾江恶斗|
胡曾联手|Hu has teamed
胡占凡＋被查|
胡赵|Hu Zhao
胡主席|President Hu
胡总|Hu
胡总书记|Hu Jintao
胡錦\濤|
胡錦濤|Hu Jintao
狐瘟|Fox plague
狐瘟乱中华|
糊淘淘温饱饱|
湖滨路凯悦酒店|
湖州抗税|Huzhou tax resistance
虎骑成人网|
虎头牌猎狗专卖|
护法|
护花剑|Drawing a sword
护士长|Matron
互联网|The Internet
互助巷|Mutual Lane
户外敬拜|Outdoor worship
花園網|Garden Network
花和尚导航|Monk navigation
花花公子|Playboy
花莉茉|Li jasmine flowers
花事件|Flower event
花行动|Flower actions
花要开|Flowers to open
花园软件|Garden Software
花园网|Garden Network
花展|Flower Show
华东医院|Huadong Hospital
华国锋|Hua Guofeng
华惠棋|Hua Hui Qi
华建敏|Hua Jianmin
华解不了|
华莱士|Wallace
华人|Chinese
华人伊甸园|
华如秀|
华润＋贺国强|
华通时事|
华通时事论坛|
华夏论坛|
华夏文摘|China Digest
华雪和|China snow and
华语世界论坛|
华岳|Huayue
华岳时事|
华岳时事论坛|
话在肉身显现|
怀念|Yearning
怀念＋薄|Thin miss +
欢迎访问本站|
还薄清白|Thinner innocence
还民熙来|Also China Xilai
还我熙来|Also I Xilai
还我西莱|Also I Sile
换班|Relief
换届|General
换妻|Swingers
换血|Shake
黄 菊|
黄ww|Huang WW
黄b色电影|
黄慈萍|
黄海 事件|Yellow Sea incident
黄海事件|Yellow Sea incident
黄祸|
黄教授|Professor Wong
黄鞠|Huang Ju
黄菊|Huang
黄菊　|
黄俊郎|Huang Jun Lang
黄莉新|Huang Lixin
黄丽满|Huang Liman
黄明|Huang Ming
黄片|Porn
黄浦江|Huangpu River
黄浦江+死猪|
黄奇帆|Anticipation
黄雀行动|Oriole action
黄色|Yellow
黄色a片|
黄色成人网站|Yellow Adult Websites
黄挖挖|Huang dig
黄万里|Huang Wanli
黄文勋|Huang Wenxun
黄翔|
黄新初+下课|
黄牙签验货付款|
黄岩岛|Huangyan Island
黄玉斌|Huang Yubin
黄琦|Huang Qi
皇储|Crown Prince
皇冠网|Crown Network
皇冠网赌球|Crown net gambling
皇冠亚洲网|Crown Asia Network
皇后娘娘|Queen Goddess
回汉纠纷|
回教|Islam
回良玉|Hui Liangyu
回民|Muslims
回民暴|
回民暴动|Muslims riot
回应薄熙来事件|
悔过书|
慧网|Wisdom Network
会场+打架|Fight venue +
会后+打架|#NAME?
会计考试答案|Accounting exam answers
混蛋神风流史|
活动|Activity
活动官方|Activities official
活动提示|Activities Tips
活动小组|Activities Team
活动信息|Event Information
活埋+名单|
火|Fire
火凤凰|Phoenix
火锅|Chafing dish
火药|Gunpowder
火药配方|Gunpowder formula
获獎通知|Prize notification
霍英東|Fok
基本法+23|Basic +23
基本法+二十三|Basic + twenty-three
基督|
基督教|Christianity
基督徒|Christian
基督在河南|Christ in Henan
基金博裕|Base ???
畸恋五次方|Abnormal love quadrillion
积克馆|
紅志|
紅智|
激流中国|Torrent China
激情|Enthusiasm
激情qq视频|Passion QQ Video
激情成人论坛|Passion Adult Forum
激情电影种子|Passion movie Seeds
激情聊天|Passion chat
激情裸聊室|
激情裸女聊天室|
激情美女小电影|
激情片下载|Passion film download
激情三级片|Passion three pieces
激情视频|Passion Video
激情网站|Passion website
激情小电影|Passion small movie
激情影院|Passion for cinema
激情自拍|Self passion
鸡吧|Helping of chicken
鸡八|
鸡巴|Cock
鸡奸|Sodomy
鸡毛信文汇|
姬胜德|Ji Shengde
吉林士兵|Jilin soldiers
吉米多维奇|?????
极品色医|Medical Need color
极限写真|Ultimate Photo
集合|Set
集会|Assembly
集结|Build
集体|Collective
集体上访|Collective petition
几吧|A few bars
己厚天下|Thick own world
己巳月+乙未日|
蓟县|Jixian
祭|Festival
祭奠|Memorial
济南小偷新疆|Jinan thief Xinjiang
寂護|Shantarakshita
计划|Plan
记者采访|Reporters interviewed
记者无国界|Reporters Without Borders
记者无疆界|
妓|Prostitute
妓男|Male prostitutes
妓女|Whore
妓女日记|Prostitute diary
继承英烈志|Inheritance martyrs Chi
继志述事|
纪念|Commemorate
纪念本拉登君|
纪念六四运动|June 4th Movement
纪念七五|Memorial seventy-five
纪委|Discipline
纪英男|Hideo discipline
纪元|
纪元 退党|Era resign
纪元记者|Era Reporter
纪元退党|Era resign
纪元网|Era network
嘉靖|Jiajing
家宝|Jiabao
家乐福|Carrefour
家中自拍|Self home
加拿大广播公司|Canadian Broadcasting Corporation
加央班旦 僧人|Kangar monk Palden
加油|Refuel
加兹温|Qazvin
贾|
贾 庆 林|
贾不假|
贾公子|Jiagong Zi
贾甲|Jia Jia
贾阔|JIA wide
贾庆|Jia
贾庆l|Jia L
贾庆林|Jia Qinglin
贾廷安|Jia Yanan
贾晓烨|JIA Xiao Ye
贾育台|
假1元硬币买卖|
假币朝鲜版代理|
假币联系电话|Tel counterfeit money
假发票qq|QQ false invoices
假发票出售qq|
假发票专卖|False invoices Monopoly
假发票专卖qq|
假警官证qq|
假钱出售价格|
假庆淋|False Qing Lin
假人民幣銷售|Fake RMB sales
假文凭办理|Fake diplomas handle
假硬币出售qq|
假硬币买卖|Fake coin trading
假鈔qq|Counterfeit qq
假鈔出售qq|Qq sell counterfeit
驾崩|Jiabeng
驾鹤|Riding a crane
监听器|Monitor
监听手机qq|Spy Phone qq
监狱|Prison
监政会|Monitoring political will
兼職妹妹|Part-time sister
兼职mm|Part MM
兼职按摩|Part-time massage
兼职服务|Part-time service
兼职楼凤qq|
兼职美眉|Part-time crush
兼职美女|Part-time beauty
兼职妹妹|Part-time sister
兼职男妓|Part-time prostitutes
兼职女郎|Part-time girl
兼职上门|Part-time home
兼职小姐|Miss part
兼职小姐qq|Miss part qq
兼职学生妹|Part-time school girl
奸污|Rape
奸相|Crafty
奸淫|
碱式碳酸铜|Basic copper carbonate
捡国旗|
贱b|Cheap B
贱逼|
贱比|
贱货|
贱人|
见证|Witness
絕食|Fast
建国党|
建国门|Jianguomen
建国门事件|Jianguomen event
建联通|ImGO
建堂|Church Building
建议|Proposal
僵贼|
僵贼民|
姜春云|Chunyun
姜恩柱|Jiang
姜洪禄|Jiang Honglu
姜嘉兴|Jiang Jiaxing
姜维平|Jiang Weiping
姜伟华名表|Jiang Weihua watches
姜亚群|Ginger subsets
姜异康|Jiang Yikang
将则民|
江|River
江 泽 民|
江+蛤蟆|Jiang + toad
江boss|Jiang BOSS
江core|Jiang core
江ze民|
江zm 病危|Jiang zm dying
江澤民|Jiang
江八点|
江北|Jiangbei
江边|Riverside
江病危|Jiang dying
江东|Koto
江端仪|Ebata instrument
江公子|Jiang Gongzai
江鬼|Ghost River
江核心|Jiang core
江胡斗|Jiang Hu bucket
江胡斗内幕|
江湖艳情录|Erotic arena record
江湖淫娘|Mother kinky arena
江淮汽车|JAC
江家|Jiang's home
江家帮|
江家帮反扑|
江建曾|Jiang Jian Zeng
江姐|Sister Jiang
江锦恒|Jiang Jinheng
江就一下|Jiang on what
江李滕|Lee Teng Jiang
江铃汽车|JMC
江流氓|
江罗|Jiang Luo
江美琪|Video search
江绵恒|Mr Jiang
江绵恒的儿子|Mr Jiang's son
江绵桓|Jiang Mian Huan
江绵康|Jiang Miankang
江民|Jiangmin
江南|Jiangnan
江派|Jiang faction
江棋生|Jiang Qisheng
江青|Jiang
江若琳|Elanne
江三表|River table
江上青|Shangqing
江诗丹顿 表叔|Vacheron Constantin uncle
江氏|Jiang
江氏 独裁|Jiang's dictatorship
江氏常委|Jiang Standing
江氏控|Jiang control
江氏控制|Jiang control
江氏控制权力|
江宋|Song Jiang
江宋恋|Love Song Jiang
江苏|Jiangsu Province
江太皇|Jiang Taihuang
江太上|Mrs on
江天勇|Jiang Tianyong
江西|Jiangxi Province
江西稀土|Jiangxi Rare Earth
江习不合|Jiang Xi substandard
江系|Jiang Department
江系军委被撤|
江系人马|Jiang's faction
江系人马名单|Jiang's faction List
江戏子|Jiang actors
江小鱼|River fish
江心公园|River park
江讯|Jiang News
江爷爷|Grandpa Jiang
江已病危|
江映蓉|JiangYingRong
江语晨|Jiang Yu Chen
江责民|Jiang Min responsibility
江则民|
江泽慧|Zehui
江泽民|Jiang
江泽民暴毙|Jiang died suddenly
江泽民被控制|Jiang is controlled
江泽明|Jiang Zeming
江贼|Jiangzei
江贼民|Jiangzei China
江折民|
江浙|Jiangsu and Zhejiang
江浙民系|
江志成|Jiang Zhicheng
江中健胃消食片|
江中药业|Jiang Chinese medicine
江猪|
江猪媳|
江主席|President Jiang
江主席病危|President Jiang dying
江总病危|Jiang dying
江总书记 病危|Jiang Zemin dying
江铠同|River Plate with
江蟾蜍|River toad
疆獨|East Turkistan separatists
疆独|East Turkistan separatists
疆独立|
蒋公剿匪不力|
蒋捷连|Jiang Jie Lian
蒋军医|
蒋品超|Chiang Pin-chao
蒋彦永|Jiang Yanyong
奖品服务|Prizes Service
讲法|Argument
讲真相|
酱猪媳|
焦國標|Jiao Guobiao
焦国标|Jiao Guobiao
交班|
交换姐妹花|Exchange of sisters
交警|
交警夏坤|Xia Kun police
交易内幕|Insider Trading
交友俱乐部|Dating Club
交趾支那|Cochinchina
娇娇师娘|Waited Mistress
娇臀|Johnson hip
脚交|Foot cross
脚奴|Foot slave
脚虐|Foot abuse
狡猾的风水师|Cunning feng shui
狡猾的风水相师|Cunning Fengshuixiangzao division
教会|Church
教养院|
叫床|Jiaochuang
揭秘|Secret
揭秘 薄瓜瓜|Secret Bo Guagua
揭批书|
揭西|JieXi
揭阳|Jieyang
接班|Succession
接班人|Successors
截访|Petitioners
结束一党专政|
结束一党专制|
解放|Liberation
解放碑大行动|Operation Liberation Monument
解放大道|Jiefang Avenue
解放军总医院|PLA General Hospital
解封网站|Reopened website
解禁|Ban
解救薄熙来|Bo Xilai rescue
解救许开生|Rescue Xukai Sheng
解码器出售|Decoder sell
解码器专卖qq|Decoder Monopoly qq
解体|Disintegration
姐疼|
姐痛|
戒yan|Ring yan
戒严|Curfew
界日报|Daily sector
金|Gold
金盾|Shield
金盾工程|Golden Shield Project
金黄色葡萄球菌|Staphylococcus aureus
金鳞岂是池中物|
金龙|Dragon
金瓶梅在线|Golden Lotus online
金人庆|Jin
金日成+大学|
金融黑洞深无底|
金属铊出售|Metal thallium sell
金水桥|Golden Water Bridge
金歪日|Kim crooked Day
金无怠|No gold lazy
金尧如|
今日奖品|Today prizes
今天|Present day
紧急|Urgent
锦胡轮胎|Jin Hu tires
锦湖轮胎|Kumho Tire
锦涛|Jintao
进京|Beijing
进京 上访|Beijing to petition
进京集访|
进口汽狗专卖|
进口双管枪qq|
进群交流|
进入分站|Into the sub-station
进入主站|
晋宁|Jinningian
禁毒处|Narcotics Division
禁看|
禁食|Fasting
禁书|Banned
近平|Nearly flat
近平+车祸|
綠壩·花季護航|
綠四|Green four
維園燭光晚會|
維多利亞|Victoria
維多利亞公園|Victoria Park
維基揭密|WikiLeaks
茎侯佳阴|
茎候佳阴|Jinghoujiayin
京+wen|Beijing + wen
京+温|Wen Jing +
京城+斗争|Beijing + struggle
京城+戒严|Beijing + curfew
京城+内斗|Beijing + infighting
京都血火|
京华|Jinghua
京华时报|Beijing Times
京之春|
精神病|Psychiatry
精液|Semen
精英|Elite
精子|Sperm
经叔平|Jing Shuping
经文|Scripture
警变|Police changed
警察|Police
警察杜平|Police Dupin
警察证出售|
警方拘捕|Police arrested
警服出售qq|Qq sell uniforms
警服出售电话|Uniforms sell phone
